iter	Passed	Remaining
929	2089	157
930	2091	154
931	2093	152
932	2096	150
933	2104	148
934	2106	146
935	2109	144
936	2112	142
937	2114	139
938	2117	137
939	2119	135
940	2120	132
941	2122	130
942	2124	128
943	2126	126
944	2129	123
945	2131	121
946	2133	119
947	2135	117
948	2136	114
949	2138	112
950	2140	110
951	2143	108
952	2146	105
953	2148	103
954	2150	101
955	2152	99
956	2154	96
957	2156	94
958	2158	92
959	2160	90
960	2162	87
961	2164	85
962	2165	83
963	2167	80
964	2169	78
965	2171	76
966	2173	74
967	2175	71
968	2177	69
969	2179	67
970	2181	65
971	2183	62
972	2185	60
973	2187	58
974	2189	56
975	2191	53
976	2193	51
977	2195	49
978	2197	47
979	2199	44
980	2202	42
981	2204	40
982	2206	38
983	2208	35
984	2211	33
985	2213	31
986	2215	29
987	2219	26
988	2221	24
989	2223	22
990	2227	20
991	2229	17
992	2231	15
993	2233	13
994	2235	11
995	2239	8
996	2241	6
997	2243	4
998	2245	2
999	2248	0
